naslov,avtor,ocena,vse_ocene,kon_ocena,vsi_glasovi
Frostbite,Richelle Mead, 4.27 ,"308,953",94.716,1076
Goodnight Moon,Margaret Wise Brown, 4.28 ,"305,081",94.057,1168
The Lorax,Dr. Seuss, 4.34 ,"283,070",92.526,1130
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett, 4.24 ,"542,255",92.423,1056
Blood Promise,Richelle Mead, 4.32 ,"275,754",89.995,1026
Tess of the D&#39;Urbervilles,Thomas Hardy, 3.80 ,"238,015",88.973,1090
The Good Earth,Pearl S. Buck, 3.99 ,"223,058",88.598,1078
Heart of Darkness,Joseph Conrad, 3.43 ,"413,837",88.285,1090
A Midsummer Night&#39;s Dream,William Shakespeare, 3.95 ,"442,400",87.413,1151
The Battle of the Labyrinth,Rick Riordan, 4.39 ,"740,118",87.342,1033
Clockwork Princess,Cassandra Clare, 4.57 ,"336,466",86.774,971
The Prophet,Kahlil Gibran, 4.22 ,"234,534",86.748,1045
The Mists of Avalon,Marion Zimmer Bradley, 4.11 ,"191,487",84.898,1008
The Titan&#39;s Curse,Rick Riordan, 4.35 ,"685,187",84.197,1014
The Sea of Monsters,Rick Riordan, 4.24 ,"747,490",83.741,1008
The Joy Luck Club,Amy Tan, 3.93 ,"597,525",82.461,1035
Alice in Wonderland,Jane Carruth, 4.02 ,"376,450",82.010,1069
The Call of the Wild,Jack London, 3.87 ,"340,547",81.356,1058
Jonathan Livingston Seagull,Richard Bach, 3.84 ,"202,092",81.140,991
Madame Bovary,Gustave Flaubert, 3.68 ,"253,350",80.572,1009
The Phantom Tollbooth,Norton Juster, 4.20 ,"241,303",80.122,941
Bridge to Terabithia,Katherine Paterson, 4.01 ,"444,701",79.610,1006
The Hunger Games Trilogy Boxset,Suzanne Collins, 4.48 ,"187,759",79.239,935
"Oh, the Places You&#39;ll Go!",Dr. Seuss, 4.35 ,"328,058",78.977,1005
The Girl Who Played with Fire,Stieg Larsson, 4.24 ,"808,629",78.577,978
The Maze Runner,James Dashner, 4.03 ,"1,054,371",78.429,902
The Neverending Story,Michael Ende, 4.17 ,"161,584",77.699,944
Oliver Twist,Charles Dickens, 3.87 ,"318,823",77.656,1054
Ulysses,James Joyce, 3.73 ,"110,731",77.545,923
Treasure Island,Robert Louis Stevenson, 3.83 ,"401,515",77.086,1041
Fifty Shades of Grey,E.L. James, 3.66 ,"1,943,935",75.815,856
The Clan of the Cave Bear,Jean M. Auel, 4.05 ,"228,888",75.174,924
A Storm of Swords,George R.R. Martin, 4.54 ,"665,502",73.892,855
The Canterbury Tales,Geoffrey Chaucer, 3.50 ,"188,457",73.743,983
The World According to Garp,John Irving, 4.09 ,"204,513",72.939,904
A Farewell to Arms,Ernest Hemingway, 3.81 ,"262,933",72.855,935
David Copperfield,Charles Dickens, 4.00 ,"198,887",72.676,956
Tote Mädchen lügen nicht,Jay Asher, 3.92 ,"771,886",71.361,818
Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire, 3.54 ,"573,143",69.973,846
Shōgun,James Clavell, 4.39 ,"146,603",68.575,839
Extremely Loud &amp; Incredibly Close,Jonathan Safran Foer, 3.97 ,"379,710",68.087,780
Murder on the Orient Express,Agatha Christie, 4.17 ,"379,986",67.722,880
A Little Princess,Frances Hodgson Burnett, 4.20 ,"271,484",67.478,858
The Other Boleyn Girl,Philippa Gregory, 4.07 ,"455,324",67.337,826
His Dark Materials,Philip Pullman, 4.25 ,"143,369",67.197,784
Schindler&#39;s List,Thomas Keneally, 4.34 ,"144,078",66.873,881
The Boy in the Striped Pajamas,John Boyne, 4.15 ,"516,939",66.495,825
Jurassic Park,Michael Crichton, 4.04 ,"801,795",65.836,824
Fallen,Lauren Kate, 3.73 ,"493,468",65.537,759
Last Sacrifice,Richelle Mead, 4.39 ,"254,656",65.537,769
The Night Circus,Erin Morgenstern, 4.03 ,"683,327",65.366,741
The Silmarillion,J.R.R. Tolkien, 3.93 ,"218,822",64.290,775
The Secret Magdalene,Ki Longfellow, 4.07 ,"4,257",63.985,657
Beloved,Toni Morrison, 3.87 ,"324,837",63.933,794
The Trial,Franz Kafka, 3.96 ,"233,832",63.049,775
A Confederacy of Dunces,John Kennedy Toole, 3.89 ,"230,861",63.048,727
The Sun Also Rises,Ernest Hemingway, 3.82 ,"365,622",63.039,801
The Selection,Kiera Cass, 4.13 ,"890,955",62.933,715
The Velveteen Rabbit,Margery Williams Bianco, 4.29 ,"221,360",62.527,838
Catching Fire,Suzanne Collins, 4.29 ,"2,510,654",61.824,758
The Lost Hero,Rick Riordan, 4.33 ,"622,728",61.665,745
Throne of Glass,Sarah J. Maas, 4.20 ,"594,678",61.343,684
Spirit Bound,Richelle Mead, 4.35 ,"259,841",61.124,724
Clockwork Prince,Cassandra Clare, 4.44 ,"441,023",60.579,716
The Crucible,Arthur  Miller, 3.59 ,"322,751",59.778,795
The Iliad/The Odyssey,Homer, 4.04 ,"62,670",59.731,790
Cat&#39;s Cradle,Kurt Vonnegut Jr., 4.16 ,"338,628",59.024,719
The God of Small Things,Arundhati Roy, 3.94 ,"243,957",58.276,687
The Wind in the Willows,Kenneth Grahame, 3.98 ,"179,304",57.972,775
The Screwtape Letters,C.S. Lewis, 4.22 ,"331,483",57.947,714
Girl with a Pearl Earring,Tracy Chevalier, 3.89 ,"626,116",57.742,752
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom, 4.42 ,"256,761",57.445,686
A Light in the Attic,Shel Silverstein, 4.34 ,"373,965",56.943,755
Shiver,Maggie Stiefvater, 3.77 ,"430,445",56.738,659
The Silence of the Lambs,Thomas  Harris, 4.20 ,"462,957",56.616,733
Uglies,Scott Westerfeld, 3.86 ,"559,690",56.436,671
City of Fallen Angels,Cassandra Clare, 4.12 ,"480,205",56.434,703
Man&#39;s Search for Meaning,Viktor E. Frankl, 4.36 ,"399,381",56.140,655
She&#39;s Come Undone,Wally Lamb, 3.88 ,"316,053",55.867,676
The Phantom of the Opera,Gaston Leroux, 3.96 ,"198,537",54.625,704
Marley and Me: Life and Love With the World&#39;s Worst Dog,John Grogan, 4.14 ,"440,377",54.607,685
Ella Enchanted,Gail Carson Levine, 3.98 ,"386,530",54.518,679
The Wind-Up Bird Chronicle,Haruki Murakami, 4.16 ,"217,884",54.275,609
Cinder,Marissa Meyer, 4.14 ,"681,298",53.375,617
The Green Mile,Stephen King, 4.45 ,"248,532",53.136,683
A Clash of Kings,George R.R. Martin, 4.41 ,"787,561",52.862,651
Blindness,José Saramago, 4.13 ,"200,140",52.830,609
The Sound and the Fury,William Faulkner, 3.86 ,"158,358",52.729,660
The Shack,William Paul Young, 3.78 ,"537,969",52.267,622
Marked,P.C. Cast, 3.80 ,"429,612",52.072,614
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer, 4.17 ,"609,620",51.407,628
For Whom the Bell Tolls,Ernest Hemingway, 3.97 ,"248,952",51.234,699
Fear and Loathing in Las Vegas,Hunter S. Thompson, 4.08 ,"298,681",51.199,619
The House of the Spirits,Isabel Allende, 4.24 ,"189,479",50.819,639
The Complete Calvin and Hobbes,Bill Watterson, 4.82 ,"34,868",50.709,632
Roots: The Saga of an American Family,Alex Haley, 4.43 ,"145,942",50.100,658
Howl&#39;s Moving Castle,Diana Wynne Jones, 4.26 ,"215,362",49.956,596
Misery,Stephen King, 4.17 ,"497,651",49.920,651
Stranger in a Strange Land,Robert A. Heinlein, 3.92 ,"275,181",49.644,618
Island of the Blue Dolphins,Scott O&#39;Dell, 3.84 ,"291,288",49.491,638
Midnight Sun [2008 Draft],Stephenie Meyer, 4.02 ,"146,178",48.808,573
The Girl Who Kicked the Hornet&#39;s Nest,Stieg Larsson, 4.22 ,"645,029",48.307,620
White Oleander,Janet Fitch, 3.97 ,"321,552",48.197,600
The Secret History,Donna Tartt, 4.09 ,"313,981",48.169,556
The Diary of a Young Girl,Anne Frank, 4.15 ,"2,737,382",47.931,619
Delirium,Lauren Oliver, 3.97 ,"416,385",47.672,547
Beautiful Disaster,Jamie McGuire, 4.10 ,"546,324",47.581,536
Othello,William Shakespeare, 3.90 ,"314,858",47.570,684
Flow Down Like Silver: Hypatia of Alexandria,Ki Longfellow, 4.43 ,"2,279",47.531,491
Paper Towns,John Green, 3.80 ,"918,023",47.465,558
The Vampire Lestat,Anne Rice, 4.07 ,"176,496",47.256,605
The Idiot,Fyodor Dostoyevsky, 4.18 ,"132,260",47.126,601
Speak,Laurie Halse Anderson, 4.02 ,"484,541",47.066,580
King Lear,William Shakespeare, 3.91 ,"180,470",46.782,642
The Once and Future King,T.H. White, 4.05 ,"100,106",46.527,578
I Know This Much Is True,Wally Lamb, 4.19 ,"289,391",46.411,554
Neverwhere,Neil Gaiman, 4.17 ,"429,041",45.998,564
Into the Wild,Jon Krakauer, 3.99 ,"877,991",45.927,582
Uncle Tom&#39;s Cabin,Harriet Beecher Stowe, 3.87 ,"197,453",45.654,636
"Lamb: The Gospel According to Biff, Christ&#39;s Childhood Pal",Christopher Moore, 4.24 ,"150,993",45.600,510
Inkheart,Cornelia Funke, 3.88 ,"368,954",45.545,576
