avtor,odlocilna_ocena
Roald Dahl,27.029
Leigh Bardugo,26.728
J.K. Rowling,26.706
Charles Darwin,26.616
Rohinton Mistry,26.200
Laini Taylor,26.196
Alyson Noel,26.159
Robert Louis Stevenson,26.156
Cassandra Clare,25.986
Arthur  Miller,25.760
Philip Pullman,25.714
Stephen King,25.504
Tennessee Williams,25.409
Albert Camus,25.332
John Berendt,25.322
David Foster Wallace,25.154
Niccolò Machiavelli,25.150
William Shakespeare,25.096
Johann Wolfgang von Goethe,25.082
Kazuo Ishiguro,24.879
Stephanie Perkins,24.862
Lisa See,24.854
James Patterson,24.610
George R.R. Martin,24.539
Ransom Riggs,24.412
Ally Condie,24.354
V.C. Andrews,24.342
Annie Proulx,24.228
Laura Hillenbrand,24.200
Emmuska Orczy,24.140
Colleen Hoover,24.048
Susanna Clarke,23.949
Chaim Potok,23.909
Nick Hornby,23.703
Cormac McCarthy,23.647
Ki Longfellow,23.469
Anthony Doerr,23.297
Eoin Colfer,23.235
Astrid Lindgren,23.139
J.K. Rowling,23.096
Jeffrey Eugenides,22.976
Bernhard Schlink,22.873
Jodi Picoult,22.630
Rick Riordan,22.380
Gregory David Roberts,22.250
Erik Larson,22.245
Francine Rivers,22.088
Edith Wharton,21.996
Stephenie Meyer,21.793
Dan Brown,21.758
William Gibson,21.673
P.C. Cast,21.656
Samuel Beckett,21.646
Jane Austen,21.528
C.S. Lewis,21.419
James Joyce,21.387
John Steinbeck,21.349
J.R. Ward,21.280
Sarah J. Maas,21.102
Leo Tolstoy,21.021
Rebecca Wells,20.996
T.S. Eliot,20.932
P.C. Cast,20.905
Jonathan Safran Foer,20.856
George R.R. Martin,20.769
Sarah J. Maas,20.551
Virginia Woolf,20.466
Stephenie Meyer,20.440
Isaac Asimov,20.373
John Steinbeck,20.347
Maya Angelou,20.304
Kiera Cass,20.204
Upton Sinclair,20.164
Stephen King,20.034
David Guterson,19.933
Diana Gabaldon,19.903
Robert Graves,19.881
Sarah J. Maas,19.749
David Sedaris,19.727
P.C. Cast,19.431
E.M. Forster,19.369
Charles Dickens,19.159
Plato,19.147
C.S. Lewis,19.027
William Peter Blatty,18.994
R.D. Ronald,18.819
Neil Gaiman,18.768
Hermann Hesse,18.598
Rick Yancey,18.378
Kyle Keyes,18.334
Benjamin Alire Sáenz,18.331
Julie Kagawa,18.280
Anonymous,18.263
Emily Dickinson,18.245
Lauren Kate,18.239
Richelle Mead,18.233
Diana   Forbes,18.215
Terry Goodkind,18.170
William Makepeace Thackeray,18.169
Elizabeth Gaskell,18.164
Evelyn Waugh,18.048
Richard Dawkins,18.030
W. Somerset Maugham,17.959
Stephen King,17.770
Neal Stephenson,17.719
Max Brooks,17.610
Libba Bray,17.567
Sylvia Day,17.549
Anne Rice,17.529
H.G. Wells,17.525
Kelley Armstrong,17.426
Alan Paton,17.296
Dalton Trumbo,17.156
Joanne Harris,17.156
Jeaniene Frost,17.038
Greg Mortenson,17.023
Cassandra Clare,17.009
Simone Elkeles,17.008
Victoria Aveyard,17.003
Cassandra Clare,16.969
Wilkie Collins,16.913
Dan Brown,16.909
Sarah Dessen,16.745
Arthur C. Clarke,16.704
Sarah Dessen,16.672
Deborah Harkness,16.633
Neal Shusterman,16.625
Irvine Welsh,16.613
P.D. Eastman,16.520
John Steinbeck,16.505
William Shakespeare,16.497
Marcel Proust,16.418
Chris Van Allsburg,16.361
Tatiana de Rosnay,16.291
Sherrilyn Kenyon,16.205
D.H. Lawrence,16.204
Kiera Cass,16.080
Becca Fitzpatrick,16.076
Daniel Quinn,16.052
J.D. Salinger,15.991
Michelle Hodkin,15.955
Jennifer Niven,15.905
Jon Krakauer,15.858
J.R.R. Tolkien,15.851
Thomas Hardy,15.791
R.D. Ronald,15.778
Pittacus Lore,15.754
Susan Ee,15.745
C.S. Lewis,15.743
Charlaine Harris,15.727
Paullina Simons,15.678
Max Lucado,15.642
Garth Nix,15.638
Abraham   Verghese,15.631
Laura Ingalls Wilder,15.567
Martin Heidegger,15.553
Jane Austen,15.502
Shannon Hale,15.490
Dodie Smith,15.485
Randy Pausch,15.336
Tennessee Williams,15.333
Tahereh Mafi,15.294
William Shakespeare,15.244
Alexandra Bracken,15.203
Chuck Palahniuk,15.186
Melissa Marr,15.134
Michael Cunningham,15.131
Diana Gabaldon,15.067
Cecelia Ahern,15.036
Ken Follett,15.010
P.C. Cast,14.922
Sarah J. Maas,14.897
Charles Dickens,14.892
William Shakespeare,14.880
Peter S. Beagle,14.809
Colleen Hoover,14.733
Laura Ingalls Wilder,14.731
Dan Simmons,14.720
Cormac McCarthy,14.661
Barbara Kingsolver,14.620
Maggie Stiefvater,14.611
Lemony Snicket,14.584
Edmond Rostand,14.569
Orson Scott Card,14.462
Ellen Raskin,14.422
Jhumpa Lahiri,14.341
Rick Riordan,14.315
E. Lockhart,14.288
Donna Tartt,14.278
Robert Penn Warren,14.192
William Shakespeare,14.148
J.R. Ward,14.062
Diamante Lavendar,14.021
