naslov,odlocilna_ocena,vsi_glasovi
The Scarlet Letter,128.265,1597
The Very Hungry Caterpillar,137.236,1601
The Metamorphosis,139.711,1645
The Master and Margarita,150.874,1647
Flowers for Algernon,142.273,1655
Eragon,144.990,1656
Charlie and the Chocolate Factory,143.788,1719
Middlesex,156.895,1752
The Shining,149.852,1765
The Stranger,155.456,1785
The Adventures of Tom Sawyer,147.020,1807
And Then There Were None,161.187,1873
Harry Potter and the Half-Blood Prince,162.801,1889
Clockwork Angel,174.407,1920
The Red Tent,181.001,2025
The Secret Life of Bees,179.132,2051
Harry Potter and the Goblet of Fire,179.291,2053
A Prayer for Owen Meany,207.246,2280
"Moby-Dick or, the Whale",202.650,2346
Interview with the Vampire,208.148,2385
The Complete Stories and Poems,218.248,2532
Winnie-the-Pooh,218.701,2576
The Notebook,228.629,2582
The Old Man and the Sea,235.243,2725
Atlas Shrugged,248.484,2730
Harry Potter and the Prisoner of Azkaban,247.193,2764
The Golden Compass,256.957,2878
Don Quixote,253.475,2889
The Poisonwood Bible,271.161,2977
Vampire Academy,277.718,2985
Siddhartha,272.823,3046
Angela&#39;s Ashes,290.215,3239
The Road,300.848,3299
The Brothers Karamazov,299.439,3310
A Tree Grows in Brooklyn,309.313,3405
A Clockwork Orange,302.669,3410
1984,323.235,3532
The Color Purple,318.919,3626
Outlander,341.370,3654
Rebecca,332.160,3732
My Sister&#39;s Keeper,340.838,3752
The Girl with the Dragon Tattoo,338.089,3778
Matilda,339.769,3788
Anna Karenina,348.061,3814
The Fellowship of the Ring,338.702,3814
Harry Potter and the Deathly Hallows,350.761,3829
The Bell Jar,351.402,3859
One Flew Over the Cuckoo&#39;s Nest,350.410,3970
Watership Down,370.933,4056
Little Women,354.255,4057
The Adventures of Sherlock Holmes,375.676,4213
The Pillars of the Earth,392.354,4222
Great Expectations,367.038,4222
The Stand,391.703,4240
Dune,406.403,4390
Catch-22,408.151,4453
The Giver,417.769,4561
The Handmaid&#39;s Tale,422.226,4640
The Kite Runner,436.529,4766
Slaughterhouse-Five,448.585,4856
Frankenstein: The 1818 Text,438.167,4908
Lolita,461.680,4973
Water for Elephants,474.231,5109
Life of Pi,490.279,5305
A Tale of Two Cities,488.344,5359
The Odyssey,494.160,5434
Green Eggs and Ham,497.793,5478
Where the Wild Things Are,502.753,5479
The Outsiders,508.860,5507
The Lovely Bones,510.188,5512
The Adventures of Huckleberry Finn,516.353,5686
A Game of Thrones,561.481,5999
A Wrinkle in Time,562.702,6013
A Thousand Splendid Suns,580.250,6159
The Lightning Thief,595.870,6357
The Princess Bride,601.298,6409
The Secret Garden,585.449,6442
The Catcher in the Rye,602.891,6529
One Hundred Years of Solitude,620.989,6540
Brave New World,635.586,6828
The Time Traveler&#39;s Wife,666.332,6969
Dracula,646.393,6984
Of Mice and Men,667.538,7214
Harry Potter and the Sorcerer&#39;s Stone,690.195,7335
Anne of Green Gables,695.268,7338
Charlotte&#39;s Web,680.588,7352
The Little Prince,688.993,7374
Ender&#39;s Game,720.269,7511
City of Bones,721.630,7599
The Help,718.141,7692
Crime and Punishment,758.780,7934
The Perks of Being a Wallflower,757.913,7974
The Alchemist,765.098,8003
The Great Gatsby,753.746,8128
Lord of the Flies,773.366,8228
Romeo and Juliet,771.204,8276
Divergent,792.792,8334
Fahrenheit 451,792.808,8527
Les Misérables,812.239,8539
Jane Eyre,825.894,8731
Alice&#39;s Adventures in Wonderland &amp; Through the Looking-Glass,833.310,8808
Memoirs of a Geisha,862.350,8989
The Picture of Dorian Gray,860.823,9086
The Da Vinci Code,875.958,9224
Wuthering Heights,980.557,10265
The Giving Tree,1.021.118,10590
The Hitchhiker&#39;s Guide to the Galaxy,1.063.038,10990
Gone with the Wind,1.087.141,11205
The Fault in Our Stars,1.086.569,11282
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,1.157.829,12091
The Chronicles of Narnia,1.237.662,12940
Animal Farm,1.275.335,13252
The Book Thief,1.371.355,14153
Twilight,1.458.877,14868
Pride and Prejudice,1.980.034,20421
To Kill a Mockingbird,2.267.440,23308
Harry Potter and the Order of the Phoenix,2.630.762,26908
The Hunger Games,2.991.845,30496
